Step,FF_Fragments,FF_Nodes,FF_Denial,BF_Fragments,BF_Nodes,BF_Denial
100,0.0000,11.5000,77.0000,0.8000,11.0000,79.0000
200,0.4000,11.1667,87.0000,0.9000,11.0000,86.5000
300,0.7100,11.1200,88.3333,0.9333,11.0000,89.6667
400,1.0325,10.7308,88.5000,1.2150,10.2609,90.5000
500,1.2260,10.7308,89.2000,1.5700,10.0417,90.0000
600,1.3100,10.4828,88.6667,1.8883,10.4800,90.3333
700,1.4086,10.4828,88.4286,2.1900,10.4800,89.4286
800,1.4825,10.4828,88.7500,2.4162,10.4800,88.8750
900,1.5400,10.4828,88.5556,2.5133,11.0000,88.8889
1000,1.5860,10.4828,88.1000,2.5620,11.0000,88.3000
1100,1.6236,10.4828,88.1818,2.6018,11.0000,87.9091
1200,1.6550,10.3333,87.3333,2.6350,11.0000,86.9167
1300,1.6815,10.0968,86.7692,2.6946,10.8889,86.3077
1400,1.7043,10.5313,86.0000,2.7879,10.8889,85.7143
1500,1.7240,10.5313,85.3333,2.8687,10.8889,85.6000
1600,1.7413,10.5313,85.1250,2.9394,10.8889,85.3750
1700,1.7565,10.9394,84.5294,3.0018,10.8889,84.6471
1800,1.7694,10.8824,83.9444,3.0572,10.8889,84.0000
1900,1.7816,10.8824,83.6842,3.1021,10.3103,83.6842
2000,1.7925,10.8824,83.0000,3.1470,10.0000,83.1000
2100,1.8024,10.8824,82.8571,3.1876,10.0000,82.6190
2200,1.8114,10.8824,82.0909,3.2236,9.9688,82.0000
2300,1.8391,10.8000,81.7391,3.2574,9.9688,81.4783
2400,1.8875,10.8000,81.3333,3.2613,10.0588,80.9167
2500,1.9528,11.1389,80.8000,3.2800,10.3514,80.4800
2600,1.9931,11.0526,80.1923,3.3077,10.3514,80.3077
2700,2.0304,11.0526,79.9259,3.3333,10.3514,79.8889
2800,2.0650,11.2564,79.1786,3.3407,10.2051,79.2143
2900,2.0972,11.2564,78.5862,3.3290,10.2051,78.6207
3000,2.1227,11.8780,77.7333,3.3493,9.9750,78.0333
3100,2.1187,11.8780,76.9677,3.3703,9.9750,77.7097
3200,2.1150,11.8780,76.4688,3.3900,9.9750,77.3125
3300,2.1115,11.8780,75.8182,3.4242,10.2439,76.9394
3400,2.1118,11.6429,75.3529,3.4679,10.4651,76.2353
3500,2.1371,11.6429,75.0857,3.5117,10.4651,75.7714
3600,2.1611,11.6429,74.8056,3.5719,10.7955,75.5556
3700,2.1838,11.6429,74.7027,3.6376,10.7955,75.2703
3800,2.2092,11.5349,74.2895,3.6997,10.7955,74.8947
3900,2.2551,11.5349,73.7949,3.7408,10.6444,74.4872
4000,2.2987,11.5349,73.7500,3.7722,10.6444,74.2000
4100,2.3473,12.5106,73.3659,3.8022,10.6444,73.8780
4200,2.4105,12.5106,73.0238,3.8307,10.6444,73.4286
4300,2.4700,12.4167,72.6977,3.8579,10.6444,72.8605
4400,2.5275,12.4167,72.3182,3.8839,10.6444,72.4318
4500,2.5824,12.6531,72.0889,3.9073,11.0217,72.1111
4600,2.6350,12.6531,71.8913,3.9259,11.5918,71.7609
4700,2.6853,12.6531,71.4255,3.9274,11.5918,71.5745
4800,2.7335,12.6531,71.0625,3.9490,11.7200,71.3750
4900,2.7798,12.6531,70.7755,3.9704,11.7200,71.0408
5000,2.8242,12.6531,70.4800,3.9910,11.7200,70.7200
5100,2.8669,12.6531,70.1176,4.0108,11.7200,70.4118
5200,2.9079,12.6531,69.9038,4.0298,11.7200,70.1346
5300,2.9474,12.6531,69.6415,4.0481,11.7200,69.8302
5400,2.9854,12.6531,69.3889,4.0657,11.7200,69.6667
5500,3.0220,12.6531,69.1455,4.0827,11.7200,69.4364
5600,3.0573,12.6531,68.7679,4.1089,11.9804,69.1786
5700,3.0777,12.8000,68.5439,4.1421,11.9804,69.0702
5800,3.0936,12.8000,68.3621,4.1741,11.9804,68.7759
5900,3.1090,12.8000,68.0678,4.2051,11.9804,68.4576
6000,3.1337,12.5686,67.7667,4.2350,11.8491,68.2500
6100,3.1643,12.5686,67.6393,4.2639,11.8491,68.0820
6200,3.1932,12.3462,67.4032,4.2919,11.8491,67.8710
6300,3.2219,12.6415,67.0794,4.3190,11.8491,67.6032
6400,3.2473,12.7500,66.8594,4.3453,11.8491,67.3594
6500,3.2832,13.0678,66.5538,4.3858,12.0545,67.1385
6600,3.3244,13.0678,66.3030,4.4255,12.0545,66.8939
6700,3.3643,13.0678,66.1343,4.4639,12.0545,66.9552
6800,3.4031,13.0678,65.9853,4.5151,12.0357,66.6324
6900,3.4420,13.3607,65.6812,4.5657,12.0357,66.3623
7000,3.4786,13.5806,65.5143,4.6036,12.3621,66.0286
7100,3.5035,13.5079,65.3380,4.6373,12.3621,65.8451
7200,3.5243,13.5079,65.1528,4.6701,12.4576,65.7639
7300,3.5445,13.6719,64.9863,4.7021,12.7500,65.5205
7400,3.5628,13.7077,64.8243,4.7331,12.6721,65.2703
7500,3.5828,13.6061,64.6667,4.7633,12.6721,65.2133
7600,3.6175,13.5970,64.5789,4.8011,12.8065,65.0000
7700,3.6614,13.8088,64.4286,4.8426,12.8065,64.7273
7800,3.7031,13.7101,64.2821,4.8824,12.6984,64.4487
7900,3.7448,13.7101,64.0380,4.9219,12.6984,64.3544
8000,3.7841,13.6620,63.8250,4.9525,13.0156,64.1125
8100,3.8359,13.7500,63.6914,4.9778,13.0156,64.0247
8200,3.8867,13.7500,63.5366,5.0024,13.0156,63.8537
8300,3.9363,13.7500,63.3373,5.0227,12.9846,63.7229
8400,3.9846,13.7500,63.1667,5.0340,13.1061,63.5238
8500,4.0319,13.7500,63.0000,5.0556,13.2609,63.2353
8600,4.0742,13.5890,62.8488,5.1008,13.1286,63.0814
8700,4.1071,13.4324,62.7241,5.1456,13.1286,62.8966
8800,4.1367,13.4400,62.6136,5.1894,13.1286,62.7955
8900,4.1576,13.4400,62.4944,5.2321,13.4085,62.6742
9000,4.1781,13.4400,62.3556,5.2731,13.6438,62.5111
9100,4.1981,13.4400,62.2418,5.3141,13.6438,62.3846
9200,4.2091,13.8312,62.2391,5.3636,13.9324,62.2065
9300,4.2101,14.0000,62.1290,5.4134,13.9324,62.1290
9400,4.2079,14.0000,62.0851,5.4622,13.9324,62.0745
9500,4.2047,14.2073,62.0000,5.5100,13.9324,62.0421
9600,4.1922,14.2073,61.9167,5.5568,13.9324,61.8646
9700,4.1799,14.2073,61.7629,5.6026,13.9324,61.7526
9800,4.1679,14.2073,61.7551,5.6474,13.9324,61.6327
9900,4.1561,14.2073,61.7273,5.6914,13.9324,61.5152
10000,4.1490,14.3333,61.4900,5.7340,13.8400,61.3800
